Transaction_ID,Date,Region,Country,Drug_Name,Therapy_Area,Hospital,Doctor_Segment,Sales_Representative,Units_Sold,Revenue,Discount,Manufacturing_Cost,Profit,Marketing_Spend,Inventory,Customer_Type,Quarter,Month
TXN000001,2025-11-10,South,Brazil,Prevnar,Vaccines,Apollo Hospital,Medium Prescriber,Rep_038,213,149021.64,10741.19,58359.04,79921.41,3164.48,486,Retail Pharmacy,Q4,November
TXN000002,2023-01-22,North,USA,Avastin,Oncology,Apollo Hospital,Non-Prescriber,Rep_015,181,12180.72,2192.53,4323.61,5664.58,535.85,70,Retail Pharmacy,Q1,January
TXN000003,2025-04-11,North,USA,Nurtec,Neurology,St. Luke's,High Prescriber,Rep_026,446,172992.0,31138.56,43706.95,98146.49,13239.44,303,Hospital,Q2,April
TXN000004,2024-05-23,North,USA,Avastin,Oncology,Metro Health,Medium Prescriber,Rep_004,226,40685.31,7323.36,13353.41,20008.54,1258.57,389,Retail Pharmacy,Q2,May
TXN000005,2023-07-21,North,USA,Jardiance,Diabetes,Cleveland Partners,Medium Prescriber,Rep_024,204,23739.35,4273.08,6865.34,12600.93,539.21,196,Retail Pharmacy,Q3,July
TXN000006,2025-11-30,Central,UAE,Aduhelm,Neurology,Sunrise Clinic,Low Prescriber,Rep_017,351,61056.52,1898.52,20434.41,38723.59,2667.74,182,Online Pharmacy,Q4,November
TXN000007,2023-08-19,West,Germany,Ozempic,Diabetes,Apollo Hospital,Non-Prescriber,Rep_022,235,90965.68,3336.5,29487.77,58141.41,5469.81,28,Government,Q3,August
TXN000008,2024-10-04,East,India,Brilinta,Cardiology,St. Luke's,Non-Prescriber,Rep_013,223,105023.61,8818.59,36627.94,59577.08,5394.43,242,Government,Q4,October
TXN000009,2023-04-06,North,USA,Aduhelm,Neurology,City Medical Center,Medium Prescriber,Rep_028,148,67322.36,12118.02,19564.7,35639.64,5154.95,319,Retail Pharmacy,Q2,April
TXN000010,2024-10-07,East,India,Keytruda,Oncology,Mercy General,Low Prescriber,Rep_033,242,51746.94,3061.13,22078.15,26607.66,2041.97,104,Hospital,Q4,October
TXN000011,2024-12-10,North,USA,Eliquis,Cardiology,Mercy General,Non-Prescriber,Rep_012,48,6715.15,1208.73,2132.21,3374.21,514.21,195,Retail Pharmacy,Q4,December
TXN000012,2025-08-09,East,India,Aduhelm,Neurology,City Medical Center,Medium Prescriber,Rep_002,255,129329.18,8430.65,33663.84,87234.69,4748.81,458,Hospital,Q3,August
TXN000013,2025-04-15,South,Brazil,Prevnar,Vaccines,Mercy General,High Prescriber,Rep_006,248,161783.99,10179.62,72266.42,79337.95,7107.08,417,Online Pharmacy,Q2,April
TXN000014,2024-02-07,North,USA,Brilinta,Cardiology,Sunrise Clinic,Medium Prescriber,Rep_040,172,113025.63,20344.61,36138.05,56542.97,2912.74,473,Hospital,Q1,February
TXN000015,2023-05-31,East,India,Vyepti,Neurology,Metro Health,Non-Prescriber,Rep_005,453,82090.94,8106.63,29004.96,44979.35,2926.52,498,Hospital,Q2,May
TXN000016,2025-03-26,Central,UAE,Keytruda,Oncology,Apollo Hospital,Medium Prescriber,Rep_040,332,229824.75,13402.36,98262.5,118159.89,16330.36,471,Online Pharmacy,Q1,March
TXN000017,2023-04-09,East,India,Eliquis,Cardiology,Sunrise Clinic,Low Prescriber,Rep_017,204,162351.99,6869.89,41174.91,114307.19,8058.12,130,Online Pharmacy,Q2,April
TXN000018,2024-04-14,East,India,Herceptin,Oncology,St. Luke's,High Prescriber,Rep_030,85,19804.34,1943.02,6508.09,11353.23,1456.07,334,Hospital,Q2,April
TXN000019,2025-10-16,East,India,Eliquis,Cardiology,City Medical Center,Non-Prescriber,Rep_037,137,73172.28,3102.34,32056.17,38013.77,5651.51,461,Online Pharmacy,Q4,October
TXN000020,2024-11-30,South,Brazil,Brilinta,Cardiology,Mercy General,Medium Prescriber,Rep_031,330,89376.1,5090.58,37558.28,46727.24,3487.04,126,Retail Pharmacy,Q4,November
TXN000021,2025-05-03,East,India,Entresto,Cardiology,St. Luke's,Low Prescriber,Rep_026,134,39116.35,3497.27,10847.91,24771.17,2446.13,298,Government,Q2,May
TXN000022,2025-06-21,North,USA,Vyepti,Neurology,Apollo Hospital,Low Prescriber,Rep_023,171,110931.36,19967.64,42153.12,48810.6,6890.84,408,Government,Q2,June
